crop,district,best_model,MAE,RMSE,MAPE,MASE
Carrot,Monaragala,ARIMA,1.4749999999999999,1.917354948881401,23.09043016493759,1.4749999999999999
Carrot,Mullativu,SARIMA,8.287239349599972,8.303173603178157,340.1795728389606,8.287239349599972
Carrot,Nuwara Eliya,Prophet,532.1368367255501,551.8400729194213,7.229551381105202,532.1368367255501
Carrot,Polonnaruwa,SARIMA,0.06440241281055047,0.06975307119922225,644024128.1055048,0.06440241281055047
Carrot,Puttalam,ARIMA,0.0,0.0,0.0,0.0
Carrot,Ratnapura,SARIMA,2.142478657847048,2.422946024654986,96.00831985452646,2.142478657847048
Carrot,Trincomalee,SARIMA,0.1338157258724752,0.14978684343562576,74.15604158522989,0.1338157258724752
Carrot,Vavuniya,ARIMA,0.75,0.75,7500000000.0,0.75
Tomatoes,Ampara,Prophet,50.58136623032678,53.59125023235381,37.576153909255375,50.58136623032678
Tomatoes,Anuradhapura,SARIMA,30.386272523771652,38.296910756485595,4.680705869921492,30.386272523771652
Tomatoes,Badulla,Prophet,316.446476877991,352.27837122935637,23.00930491283818,316.446476877991
Tomatoes,Batticaloa,SARIMA,4.816842652129252,6.0506688794037435,6.111476348058772,4.816842652129252
Tomatoes,Colombo,ARIMA,2.1416666666666644,3.00529625088036,32.68054891384336,2.1416666666666644
Tomatoes,Galle,Prophet,4.86449947549982,5.00746819803128,22.078194145467865,4.86449947549982
Tomatoes,Gampaha,ARIMA,9.105454018596305,11.554036433118604,18.086073919014357,9.105454018596305
Tomatoes,Hanbantota,Prophet,85.99210816457084,110.20383598796609,16.784742963591594,85.99210816457084
Tomatoes,Jaffna,Prophet,21.637341042574132,22.95660084527415,8.958906019415416,21.637341042574132
Tomatoes,Kaluthara,SARIMA,10.155050980561299,10.637622259384806,55.582459801078265,10.155050980561299
Tomatoes,Kandy,Prophet,44.82337273562779,49.74635853624362,6.27931671602999,44.82337273562779
Tomatoes,Kegalle,ARIMA,8.674999999999999,8.816816318830737,22.57290684892194,8.674999999999999
Tomatoes,Kilinochchi,Prophet,82.59171019263243,82.70119794589127,55.00056772605571,82.59171019263243
Tomatoes,Kurunegala,SARIMA,43.69446231052715,44.929266975311776,12.551905171509686,43.69446231052715
Tomatoes,Mannar,SARIMA,66.79214973202,66.79216858059193,374.836787998237,66.79214973202
Tomatoes,Matale,Prophet,245.86380575557178,247.15658881674293,28.290828681778958,245.86380575557178
Tomatoes,Matara,Prophet,9.54968655321032,13.015819412299662,29.91578631637276,9.54968655321032
Tomatoes,Monaragala,SARIMA,28.002039228912484,29.878349682615376,17.362343409866675,28.002039228912484
Tomatoes,Mullativu,SARIMA,6.3001586685616795,7.320629172292762,3.3916614616094964,6.3001586685616795
Tomatoes,Nuwara Eliya,Prophet,108.25107699398728,118.9526793827106,4.164302811156592,108.25107699398728
Tomatoes,Polonnaruwa,SARIMA,8.10689773921265,9.753425403604655,38.29443748182012,8.10689773921265
Tomatoes,Puttalam,Prophet,4.242186263569777,4.568494182277267,4.552219301055117,4.242186263569777
Tomatoes,Ratnapura,SARIMA,18.628218815415647,23.26390320473619,3.087921408461401,18.628218815415647
Tomatoes,Trincomalee,SARIMA,30.560507742252735,30.814914878915822,76.62179910623445,30.560507742252735
Tomatoes,Vavuniya,Prophet,3.6814083244010423,4.4357847336554235,4.78568409954988,3.6814083244010423
