year,month,Location_district,Crop_nam,harvested,Productio,yield
2001,April,Galle,Cabbage,0.0,0.0,0.0
2001,April,Galle,Carrot,0.0,0.0,0.0
2001,April,Galle,Tomatoes,0.16666666666666666,0.6666666666666666,4.0
2001,April,Gampaha,Beans,0.0,0.0,0.0
2001,April,Gampaha,Beetroot,0.0,0.0,0.0
2001,April,Gampaha,Cabbage,0.0,0.0,0.0
2001,April,Gampaha,Carrot,0.0,0.0,0.0
2001,April,Gampaha,Tomatoes,0.0,0.0,0.0
2001,April,Hanbantota,Beans,0.0,0.0,0.0
2001,April,Hanbantota,Beetroot,0.0,0.0,0.0
2001,April,Hanbantota,Cabbage,0.0,0.0,0.0
2001,April,Hanbantota,Carrot,0.0,0.0,0.0
2001,April,Hanbantota,Tomatoes,29.833333333333332,158.0,5.29608938547486
2001,April,Jaffna,Beans,5.666666666666667,30.833333333333332,5.441176470588235
2001,April,Jaffna,Beetroot,3.6666666666666665,25.5,6.954545454545455
2001,April,Jaffna,Cabbage,5.0,39.5,7.9
2001,April,Jaffna,Carrot,5.0,33.5,6.7
2001,April,Jaffna,Tomatoes,5.666666666666667,43.333333333333336,7.647058823529412
2001,April,Kaluthara,Beans,0.0,0.0,0.0
2001,April,Kaluthara,Beetroot,0.0,0.0,0.0
2001,April,Kaluthara,Cabbage,0.0,0.0,0.0
2001,April,Kaluthara,Carrot,0.0,0.0,0.0
2001,April,Kaluthara,Tomatoes,0.16666666666666666,0.6666666666666666,4.0
2001,April,Kandy,Beans,46.333333333333336,120.16666666666667,2.593525179856115
2001,April,Kandy,Beetroot,6.333333333333333,14.333333333333334,2.2631578947368425
2001,April,Kandy,Cabbage,44.166666666666664,143.0,3.237735849056604
2001,April,Kandy,Carrot,9.0,25.5,2.8333333333333335
2001,April,Kandy,Tomatoes,51.0,139.83333333333334,2.741830065359477
2001,April,Kegalle,Beans,2.5,10.5,4.2
2001,April,Kegalle,Beetroot,0.0,0.0,0.0
2001,April,Kegalle,Cabbage,0.0,0.0,0.0
2001,April,Kegalle,Carrot,0.0,0.0,0.0
2001,April,Kegalle,Tomatoes,2.0,9.833333333333334,4.916666666666667
2001,April,Kilinochchi,Beans,2.5,13.666666666666666,5.466666666666667
2001,April,Kilinochchi,Beetroot,0.3333333333333333,2.3333333333333335,7.000000000000001
2001,April,Kilinochchi,Cabbage,2.5,13.666666666666666,5.466666666666667
2001,April,Kilinochchi,Carrot,0.0,0.0,0.0
2001,April,Kilinochchi,Tomatoes,3.3333333333333335,15.166666666666666,4.55
2001,April,Kurunegala,Beans,0.6666666666666666,1.3333333333333333,2.0
2001,April,Kurunegala,Beetroot,3.5,23.0,6.571428571428571
2001,April,Kurunegala,Cabbage,0.0,0.0,0.0
2001,April,Kurunegala,Carrot,0.0,0.0,0.0
2001,April,Kurunegala,Tomatoes,12.5,84.66666666666667,6.773333333333333
2001,April,Mannar,Beans,0.3333333333333333,1.5,4.5
2001,April,Mannar,Beetroot,1.3333333333333333,11.166666666666666,8.375
2001,April,Mannar,Cabbage,1.3333333333333333,14.0,10.5
2001,April,Mannar,Carrot,1.0,2.6666666666666665,2.6666666666666665
2001,April,Mannar,Tomatoes,2.3333333333333335,15.833333333333334,6.785714285714286
2001,April,Matale,Beans,99.5,447.6666666666667,4.499162479061977
2001,April,Matale,Beetroot,11.333333333333334,48.0,4.235294117647059
2001,April,Matale,Cabbage,15.166666666666666,138.16666666666666,9.10989010989011
2001,April,Matale,Carrot,0.5,2.0,4.0
2001,April,Matale,Tomatoes,31.833333333333332,206.83333333333334,6.49738219895288
2001,April,Matara,Beans,0.0,0.0,0.0
2001,April,Matara,Beetroot,0.0,0.0,0.0
2001,April,Matara,Cabbage,0.0,0.0,0.0
2001,April,Matara,Carrot,0.0,0.0,0.0
2001,April,Matara,Tomatoes,0.5,2.0,4.0
2001,April,Monaragala,Beans,3.1666666666666665,10.333333333333334,3.2631578947368425
2001,April,Monaragala,Beetroot,0.0,0.0,0.0
2001,April,Monaragala,Cabbage,0.0,0.0,0.0
2001,April,Monaragala,Carrot,0.0,0.0,0.0
2001,April,Monaragala,Tomatoes,41.0,234.33333333333334,5.715447154471545
2001,April,Mullativu,Beans,0.0,0.0,0.0
2001,April,Mullativu,Beetroot,0.0,0.0,0.0
2001,April,Mullativu,Cabbage,1.8333333333333333,2.1666666666666665,1.1818181818181819
2001,April,Mullativu,Carrot,0.0,0.0,0.0
2001,April,Mullativu,Tomatoes,5.0,33.5,6.7
